post_id,author_id,created_at,language,text,source,is_ragebait,label,confidence,reason,llm_model,labeling_status,parse_mode,error
13113,NASA,,,NASA's Fermi Telescope Sees Most Extreme Gamma-Ray Blast Yet: The first gamma-ray burst to be seen in high-resol.. http://tinyurl.com/bjrrea,AllTweets,false,0,1.0000,The tweet is a neutral discussion about a scientific discovery without any provocative or hostile language.,Qwen/Qwen2.5-3B-Instruct-AWQ,ok,strict_json,
53737,FiveThirtyEight,,,"If Clinton wins African-American votes in SC by anywhere near the margin she will win by in NV, she will easily win. http://53eig.ht/20Mhdti",AllTweets,false,0,0.9000,The tweet discusses a hypothetical scenario about election results and does not contain provocative or intentionally insulting language.,Qwen/Qwen2.5-3B-Instruct-AWQ,ok,strict_json,
58370,FiveThirtyEight,,,"Compared to American sports, soccer's rulebook is beautiful in its simplicity. http://53eig.ht/1oDufLN pic.twitter.com/xl2PDVP5qw",AllTweets,false,0,1.0000,The tweet is a neutral comparison and does not contain provocative language or intent to provoke anger.,Qwen/Qwen2.5-3B-Instruct-AWQ,ok,strict_json,
73159,KimKardashian,,,@muscle_fitness I honestly cant wait to see them!!! Thank you for an amazing shoot today!,AllTweets,false,0,1.0000,The tweet expresses gratitude and enthusiasm without any provocative or hostile language.,Qwen/Qwen2.5-3B-Instruct-AWQ,ok,strict_json,
117027,,,,i feel proud to say that it was a very well structured essay which showed the connection of the play with society in general,twtemotion,false,0,0.9000,"The tweet expresses a neutral and positive sentiment about an essay, without any provocative or hostile language.",Qwen/Qwen2.5-3B-Instruct-AWQ,ok,strict_json,
128394,,,,i feel as alone in a group of them as by myself no actually i have video game so by myself is easier,twtemotion,false,0,0.8000,The tweet expresses a feeling of loneliness but does not use provocative or intentionally angry language. It discusses a personal situation without seeking to provoke a reaction.,Qwen/Qwen2.5-3B-Instruct-AWQ,ok,strict_json,
144195,,,,i feel kinda hopeless,twtemotion,false,0,0.9000,The tweet expresses a general feeling of hopelessness without being provocative or intended to provoke anger or hostility.,Qwen/Qwen2.5-3B-Instruct-AWQ,ok,strict_json,
335244,,,,i had told her mostly that i wouldnt do something because she has fear and that she wants to be reassured but because i feel doing it because its joyful and not out of obligation as answering emails right the way or even phone call or calling when i was traveling,twtemotion,false,0,0.9000,"The tweet discusses personal feelings and a relationship, without any provocative or hostile language. It does not trigger anger or provoke a hostile response.",Qwen/Qwen2.5-3B-Instruct-AWQ,ok,strict_json,
386124,,,,i already feel so burdened by the weight of the choices i have made,twtemotion,false,0,0.9000,The tweet expresses a personal feeling of burden without any provocative or hostile language.,Qwen/Qwen2.5-3B-Instruct-AWQ,ok,strict_json,
388787,,,,i feel i might have lost the potty training train,twtemotion,false,0,0.9000,"The tweet expresses a personal experience without any provocative or hostile language, and it does not trigger anger or hostility.",Qwen/Qwen2.5-3B-Instruct-AWQ,ok,strict_json,
